"FirstName","LastName","Subject1","Subject2","Subject3","Subject4","Subject5","AverageMarks"
"GoX6VTDof4","tyEMJ","53","2","96","11","79","48"
"Z080bvWLZ0","yMbcu","100","95","21","18","17","50"
"sHvKP4L78a","YeGLB","90","3","39","1","90","44"
"rph5YcPBKO","2jFom","84","27","76","65","26","55"
"3KRaY2YvZ4","B8QCp","92","61","38","3","81","55"
"okLiP1d5r6","WpgP4","12","13","39","86","99","49"
"7yidqBfmzG","5RJSH","4","76","58","41","25","40"
"Zt4XYHMBiW","cFjEE","77","19","29","49","63","47"
"UTMkIYqlhc","5cRsl","76","62","46","80","1","53"
"iF33Uj2EfS","xzC6t","64","25","66","25","70","50"
"fNvJbDMlpG","Ch0aU","15","56","14","5","60","30"
"ZJplxPx1My","OC8ha","85","23","33","85","54","56"
"FT1fEnJr5R","GBQez","74","55","30","71","20","50"
"NJrbiDkDsI","rGDGt","93","90","13","12","33","48"
"5EefM36JJT","RoSg7","11","55","87","100","62","63"
"dnzSet56oY","Ba9Y7","70","83","71","35","95","70"
"e38zuobeth","JG9Gt","91","70","44","74","56","67"
"JDtmOh26M5","kpUbY","18","93","81","4","62","51"
"Pme5mITztr","jK59y","6","59","64","47","66","48"
"xO5trTMsb3","6fdfH","6","53","45","85","56","49"
"INCGMGhh9v","e8a2A","31","91","64","56","25","53"
"HCiKRZHReZ","2ZnuV","31","69","43","33","70","49"
"6lGuDhfSXi","SiJJo","57","7","85","23","38","42"
"YlGUirfmRI","YQvIy","11","51","100","85","47","58"
"ctlLhLNXbO","VoLaW","35","96","40","77","88","67"
"Szhx62Bt4s","6OTtN","22","39","75","66","21","44"
"TDQMxSl1Gk","c5Ih4","73","51","75","28","49","55"
"MlkcqYebb8","0zqB1","31","54","6","0","44","27"
"oi3CxjkYJb","u9BQA","24","4","80","78","15","40"
"X0vbm8H1WY","2D39n","95","29","60","97","40","64"
"9o6zYBr7nL","MeFc0","76","52","25","52","12","43"
"ZDMWJElLKI","vdjBZ","34","93","66","8","36","47"
"1eCQfTFsZg","5lZGv","33","88","0","82","48","50"
"UUyjn9Zx9B","h7qp5","98","5","47","21","63","46"
"RdWxST1kGj","4BhKT","47","62","89","77","18","58"
"Xf9HNbFXcp","oRzPm","64","89","72","6","42","54"
"0LhWNjhX5n","PlLcD","41","81","10","63","79","54"
"UU0fWhUnn6","bVaot","58","80","84","37","82","68"
"XUieiTubGE","sXd0y","22","40","8","77","33","36"
"iO19fOpe81","GDv8g","92","0","87","68","52","59"
"LRRszJMLeU","DBpum","90","62","64","37","22","55"
"0khnOuSvk4","u5PZu","26","45","95","17","33","43"
"ueWB2xUFqo","aTpXe","81","54","60","52","98","69"
"WXHo6tij7G","xdJKR","34","2","77","3","25","28"
"1SNghfuoON","6nu68","7","39","42","7","14","21"
"1Oj2796kTz","QYJfJ","15","77","44","22","85","48"
"Qs0h3D5ueK","0ZRGF","78","10","34","60","90","54"
"rqIZAR1LBt","T38TN","72","73","69","77","21","62"
"OoZVsfZkKB","x6flB","8","100","10","34","93","49"
"6okgrPqDg2","RDv2x","69","58","38","84","62","62"
